messzeit,spannung,widerstand,spannung_outlier,widerstand_outlier
2024-01-01 00:00:00,5.099342830602247,101.7889368017414,False,False
2024-01-01 01:00:00,4.972347139765764,102.80392263184116,False,False
2024-01-01 02:00:00,5.1295377076201385,105.41525621587638,False,False
2024-01-01 03:00:00,5.304605971281605,105.26901026017453,False,False
2024-01-01 04:00:00,4.953169325055333,93.11165316021454,False,False
2024-01-01 05:00:00,4.953172608610164,95.3108748004244,False,False
2024-01-01 06:00:00,5.315842563101478,102.5751763360433,False,False
2024-01-01 07:00:00,5.153486945830582,102.56892975456104,False,False
2024-01-01 08:00:00,4.90610512281301,102.57523843153024,False,False
2024-01-01 09:00:00,5.108512008717193,119.2636574532736,False,True
2024-01-01 10:00:00,6.0,102.85445255346583,True,False
2024-01-01 11:00:00,4.906854049285949,105.677828200903,False,False
2024-01-01 12:00:00,5.048392454313207,104.770008817466,False,False
2024-01-01 13:00:00,4.61734395106844,103.256956256529,False,False
2024-01-01 14:00:00,4.655016433497393,98.42365377679828,False,False
2024-01-01 15:00:00,4.8875424941518055,103.79484610246634,False,False
2024-01-01 16:00:00,4.797433775933115,96.13587392731216,False,False
2024-01-01 17:00:00,5.062849466519054,98.81590696629996,False,False
2024-01-01 18:00:00,4.818395184895758,97.57318226085448,False,False
2024-01-01 19:00:00,4.717539259732941,100.40937069693162,False,False
2024-01-01 20:00:00,5.293129753784311,111.57329283336756,False,False
2024-01-01 21:00:00,4.9548447399026925,90.66367403704126,False,False
2024-01-01 22:00:00,5.013505640937585,103.43130095187256,False,False
2024-01-01 23:00:00,4.715050362757308,91.93642064405174,False,False
2024-01-02 00:00:00,4.891123455094964,97.64034067105284,False,False
2024-01-02 01:00:00,5.022184517941973,105.44475298483682,False,False
2024-01-02 02:00:00,4.769801284515539,100.32140009547732,False,False
2024-01-02 03:00:00,5.075139603669134,94.61127611035349,False,False
2024-01-02 04:00:00,4.879872262016239,96.42348145370016,False,False
2024-01-02 05:00:00,4.941661250041345,103.39798874467338,False,False
2024-01-02 06:00:00,4.87965867755412,96.34816684141433,False,False
2024-01-02 07:00:00,5.370455636901788,101.08229294790988,False,False
2024-01-02 08:00:00,4.997300555052413,100.22785919951907,False,False
2024-01-02 09:00:00,4.78845781420882,96.74199826197092,False,False
2024-01-02 10:00:00,5.164508982420638,110.71972044662662,False,False
2024-01-02 11:00:00,4.755831270005795,103.16959511159006,False,False
2024-01-02 12:00:00,5.041772719000951,89.87428706671196,False,False
2024-01-02 13:00:00,4.6080659752240445,100.93227157384712,False,False
2024-01-02 14:00:00,4.734362790220314,96.69106767615806,False,False
2024-01-02 15:00:00,5.039372247173825,104.26216667398111,False,False
2024-01-02 16:00:00,5.147693315999082,96.0373963078365,False,False
2024-01-02 17:00:00,5.034273656237994,99.4263177926655,False,False
2024-01-02 18:00:00,4.976870343522352,102.52493639490228,False,False
2024-01-02 19:00:00,4.939779260882142,104.3287759708506,False,False
2024-01-02 20:00:00,4.704295601926514,93.99851796472112,False,False
2024-01-02 21:00:00,4.856031158321058,98.32749382079524,False,False
2024-01-02 22:00:00,4.907872245808043,97.62527344419522,False,False
2024-01-02 23:00:00,5.211424445243783,96.73335383713145,False,False
2024-01-03 00:00:00,5.068723657913692,108.82727120140548,False,False
2024-01-03 01:00:00,4.647391968927453,102.02490855480478,False,False
2024-01-03 02:00:00,5.06481679387896,120.0,False,True
2024-01-03 03:00:00,4.922983543916737,104.58930973527389,False,False
2024-01-03 04:00:00,4.8646155999388085,110.61078098506316,False,False
2024-01-03 05:00:00,5.1223352577681736,105.16232630275572,False,False
2024-01-03 06:00:00,5.20619990449919,92.40315017022994,False,False
2024-01-03 07:00:00,5.18625602382324,97.57882963566874,False,False
2024-01-03 08:00:00,4.8321564953554725,106.33455574593312,False,False
2024-01-03 09:00:00,4.938157524829757,96.4616526719061,False,False
2024-01-03 10:00:00,5.066252686280713,102.21909714073114,False,False
2024-01-03 11:00:00,5.195109025424472,103.87317026714668,False,False
2024-01-03 12:00:00,4.904165152430942,95.36534764210958,False,False
2024-01-03 13:00:00,4.962868204667236,99.702373219691,False,False
2024-01-03 14:00:00,4.778733005198794,83.79366329965464,False,True
2024-01-03 15:00:00,4.760758675183866,94.87806179332856,False,False
2024-01-03 16:00:00,5.16250516447884,98.7371592430342,False,False
2024-01-03 17:00:00,5.271248005714164,93.76108409017576,False,False
2024-01-03 18:00:00,4.985597975683933,108.16205651965818,False,False
2024-01-03 19:00:00,5.200706579578405,92.84929311019684,False,False
2024-01-03 20:00:00,5.072327205009527,97.79977756651508,False,False
2024-01-03 21:00:00,4.870976049078975,100.65370288643044,False,False
2024-01-03 22:00:00,5.072279121101682,107.20636644533056,False,False
2024-01-03 23:00:00,5.307607313293194,92.8206892441028,False,False
2024-01-04 00:00:00,4.99283479217801,105.8158187607748,False,False
2024-01-04 01:00:00,5.312928731162801,100.05116530509794,False,False
2024-01-04 02:00:00,4.476050979182051,95.09245674476024,False,False
2024-01-04 03:00:00,5.164380500875045,102.31051737131637,False,False
2024-01-04 04:00:00,5.017409413647634,100.99529847786737,False,False
2024-01-04 05:00:00,4.9401985299068265,96.99891561420604,False,False
